index,Question Name,Question Difficulty,Question Description,Question Url
0,"
Monocarp and a Strategic Game                    ",1500,"Monocarp plays a strategic computer game in which he develops a city. The city is inhabited by creatures of four different races — humans, elves, orcs, and dwarves. Each inhabitant of the city has a happiness value, which is an integer. It depends on how many creatures of different races inhabit the city. Specifically, the happiness of each inhabitant is 0 by default; it increases by 1 for each other creature of the same race and decreases by 1 for each creature of a hostile race. Humans are hostile to orcs (and vice versa), and elves are hostile to dwarves (and vice versa). At the beginning of the game, Monocarp's city is not inhabited by anyone. During the game, n groups of creatures will come to his city, wishing to settle there. The i-th group consists of ai humans, bi orcs, ci elves, and di dwarves. Each time, Monocarp can either accept the entire group of creatures into the city, or reject the entire group. The game calculates Monocarp's score according to the following formula: m+k, where m is the number of inhabitants in the city, and k is the sum of the happiness values of all creatures in the city. Help Monocarp earn the maximum possible number of points by the end of the game!",https://codeforces.com/problemset/problem/1841/F
1,"
Fill the Matrix                    ",1500,"There is a square matrix, consisting of n rows and n columns of cells, both numbered from 1 to n. The cells are colored white or black. Cells from 1 to ai are black, and cells from ai+1 to n are white, in the i-th column. You want to place m integers in the matrix, from 1 to m. There are two rules:  The beauty of the matrix is the number of such j that j+1 is written in the same row, in the next column as j (in the neighbouring cell to the right). What's the maximum possible beauty of the matrix?",https://codeforces.com/problemset/problem/1841/E
2,"
Pairs of Segments                    ",1500,"Two segments [l1,r1] and [l2,r2] intersect if there exists at least one x such that l1≤x≤r1 and l2≤x≤r2. An array of segments [[l1,r1],[l2,r2],…,[lk,rk]] is called beautiful if k is even, and is possible to split the elements of this array into k2 pairs in such a way that: For example, the array [[2,4],[9,12],[2,4],[7,7],[10,13],[6,8]] is beautiful, since it is possible to form 3 pairs as follows: As you can see, the segments in each pair intersect, and no segments from different pairs intersect. You are given an array of n segments [[l1,r1],[l2,r2],…,[ln,rn]]. You have to remove the minimum possible number of elements from this array so that the resulting array is beautiful.",https://codeforces.com/problemset/problem/1841/D
3,"
Ranom Numbers                    ",1500,"No, not ""random"" numbers. Ranom digits are denoted by uppercase Latin letters from A to E. Moreover, the value of the letter A is 1, B is 10, C is 100, D is 1000, E is 10000. A Ranom number is a sequence of Ranom digits. The value of the Ranom number is calculated as follows: the values of all digits are summed up, but some digits are taken with negative signs: a digit is taken with negative sign if there is a digit with a strictly greater value to the right of it (not necessarily immediately after it); otherwise, that digit is taken with a positive sign. For example, the value of the Ranom number DAAABDCA is 1000−1−1−1−10+1000+100+1=2088. You are given a Ranom number. You can change no more than one digit in it. Calculate the maximum possible value of the resulting number.",https://codeforces.com/problemset/problem/1841/C
4,"
Keep it Beautiful                    ",1500,"The array [a1,a2,…,ak] is called beautiful if it is possible to remove several (maybe zero) elements from the beginning of the array and insert all these elements to the back of the array in the same order in such a way that the resulting array is sorted in non-descending order. In other words, the array [a1,a2,…,ak] is beautiful if there exists an integer i∈[0,k−1] such that the array [ai+1,ai+2,…,ak−1,ak,a1,a2,…,ai] is sorted in non-descending order. For example: Note that any array consisting of zero elements or one element is beautiful. You are given an array a, which is initially empty. You have to process q queries to it. During the i-th query, you will be given one integer xi, and you have to do the following: After each query, report whether you appended the given integer xi, or not.",https://codeforces.com/problemset/problem/1841/B
5,"
Game with Board                    ",1500,"Alice and Bob play a game. They have a blackboard; initially, there are n integers written on it, and each integer is equal to 1. Alice and Bob take turns; Alice goes first. On their turn, the player has to choose several (at least two) equal integers on the board, wipe them and write a new integer which is equal to their sum. For example, if the board currently contains integers {1,1,2,2,2,3}, then the following moves are possible: If a player cannot make a move (all integers on the board are different), that player wins the game. Determine who wins if both players play optimally.",https://codeforces.com/problemset/problem/1841/A
6,"
In Search of Truth (Hard Version)                    ",2500,"The only difference between easy and hard versions is the maximum number of queries. In this version, you are allowed to ask at most 1000 queries. This is an interactive problem. You are playing a game. The circle is divided into n sectors, sectors are numbered from 1 to n in some order. You are in the adjacent room and do not know either the number of sectors or their numbers. There is also an arrow that initially points to some sector. Initially, the host tells you the number of the sector to which the arrow points. After that, you can ask the host to move the arrow k sectors counterclockwise or clockwise at most 1000 times. And each time you are told the number of the sector to which the arrow points. Your task is to determine the integer n — the number of sectors in at most 1000 queries. It is guaranteed that 1≤n≤106.",https://codeforces.com/problemset/problem/1840/G2
7,"
In Search of Truth (Easy Version)                    ",2200,"The only difference between easy and hard versions is the maximum number of queries. In this version, you are allowed to ask at most 2023 queries. This is an interactive problem. You are playing a game. The circle is divided into n sectors, sectors are numbered from 1 to n in some order. You are in the adjacent room and do not know either the number of sectors or their numbers. There is also an arrow that initially points to some sector. Initially, the host tells you the number of the sector to which the arrow points. After that, you can ask the host to move the arrow k sectors counterclockwise or clockwise at most 2023 times. And each time you are told the number of the sector to which the arrow points. Your task is to determine the integer n — the number of sectors in at most 2023 queries. It is guaranteed that 1≤n≤106.",https://codeforces.com/problemset/problem/1840/G1
8,"
Railguns                    ",2200,"Tema is playing a very interesting computer game. During the next mission, Tema's character found himself on an unfamiliar planet. Unlike Earth, this planet is flat and can be represented as an n×m rectangle. Tema's character is located at the point with coordinates (0,0). In order to successfully complete the mission, he needs to reach the point with coordinates (n,m) alive. Let the character of the computer game be located at the coordinate (i,j). Every second, starting from the first, Tema can: The aliens that inhabit this planet are very dangerous and hostile. Therefore, they will shoot from their railguns r times. Each shot completely penetrates one coordinate vertically or horizontally. If the character is in the line of its impact at the time of the shot (at the end of the second), he dies. Since Tema looked at the game's source code, he knows complete information about each shot — the time, the penetrated coordinate, and the direction of the shot. What is the minimum time for the character to reach the desired point? If he is doomed to die and cannot reach the point with coordinates (n,m), output −1.",https://codeforces.com/problemset/problem/1840/F
9,"
Character Blocking                    ",1600,"You are given two strings of equal length s1 and s2, consisting of lowercase Latin letters, and an integer t. You need to answer q queries, numbered from 1 to q. The i-th query comes in the i-th second of time. Each query is one of three types:  Note that in queries of the second type, the characters being swapped can be from the same string or from s1 and s2.",https://codeforces.com/problemset/problem/1840/E
